,name,value,open_value,market_cap(억원),market_cap_rank
842,한국내화,3780,3755,864,코스피843위
843,한국수출포장,21550,21600,862,코스피844위
844,비상교육,6630,6680,862,코스피845위
845,DSR,5380,5390,861,코스피846위
846,참엔지니어링,1550,1535,859,코스피847위
847,동성화학,16100,16100,859,코스피848위
848,가온전선,20400,20650,849,코스피849위
849,우진,4200,4060,848,코스피850위
850,한국종합기술,7670,7510,840,코스피851위
851,TIGER 코스닥150 레버리지,14770,14455,834,
852,신영와코루,92200,91000,830,코스피853위
853,성보화학,4130,4115,827,코스피854위
854,삼성 레버리지 천연가스 선물 ETN B,8260,8410,826,
855,한창,1225,1215,818,코스피856위
856,제이준코스메틱,2210,2220,816,코스피857위
857,세원정공,8090,0,809,코스피858위
858,조광페인트,6320,6420,809,코스피860위
859,삼화왕관,37550,37550,809,코스피859위
860,유성기업,3100,3090,804,코스피861위
861,경동인베스트,33800,34200,799,코스피862위
862,영보화학,3970,3965,794,코스피863위
863,NH프라임리츠,4215,4215,787,
864,DSR제강,5460,5280,786,코스피865위
865,동양피스톤,5920,5900,780,코스피866위
866,문배철강,3800,3700,779,코스피867위
867,인디에프,1305,1290,769,코스피868위
868,KBSTAR 미국S&P원유생산기업(합성 H),3845,3820,767,
869,다스코,4970,4980,765,코스피870위
870,만호제강,18250,18350,757,코스피871위
871,TIGER 차이나HSCEI,13280,13335,757,
872,TIGER 차이나바이오테크SOLACTIVE,11535,11465,757,
873,혜인,5930,5990,754,코스피874위
874,대원화성,1825,1850,753,코스피875위
875,제일연마,7390,7270,739,코스피876위
876,녹십자홀딩스2우,87100,88000,737,코스피877위
877,인팩,7340,7350,734,코스피878위
878,TIGER KRX바이오K-뉴딜,10180,10290,733,
879,KODEX KRX300,19195,19100,729,
880,한익스프레스,6050,6040,726,코스피881위
881,대신 2X 니켈선물 ETN(H),14515,13875,726,
882,TRUE 인버스 2X 나스닥 100 ETN,2405,2420,722,
883,삼정펄프,28850,28750,721,코스피884위
884,미래아이앤지,555,554,719,코스피885위
885,휴스틸,9390,9380,716,코스피886위
886,유양디앤유,1220,0,714,코스피887위
887,미래에셋 전기전자 Core5 ETN,35555,34810,711,
888,코오롱인더우,25650,25600,710,코스피889위
889,화인베스틸,2380,2370,703,코스피890위
890,KB Wise 분할매매 ETN,11720,11720,703,
